nohup: ignoring input
010.sh: line 2: 12899 Killed                  CUDA_VISIBLE_DEVICES=0 python -W ignore cnn-tree-107.py 1 0.001 20000 0.0 0 hvac
python: can't open file 'cnn-tree-127.py': [Errno 2] No such file or directory
1 0 0.001 20000 0.0 ['fridge']
Round: 1000 Training Error: tensor(70.4024, device='cuda:0') Validation Error: tensor(60.9198, device='cuda:0') Test Error: tensor(49.0791, device='cuda:0')
Round: 1500 Training Error: tensor(68.0457, device='cuda:0') Validation Error: tensor(58.9894, device='cuda:0') Test Error: tensor(46.8994, device='cuda:0')
Round: 2000 Training Error: tensor(65.0403, device='cuda:0') Validation Error: tensor(56.7985, device='cuda:0') Test Error: tensor(43.8909, device='cuda:0')
Round: 2500 Training Error: tensor(62.0581, device='cuda:0') Validation Error: tensor(55.0162, device='cuda:0') Test Error: tensor(41.2990, device='cuda:0')
Round: 3000 Training Error: tensor(60.4341, device='cuda:0') Validation Error: tensor(55.0557, device='cuda:0') Test Error: tensor(40.6330, device='cuda:0')
Round: 3500 Training Error: tensor(60.1025, device='cuda:0') Validation Error: tensor(55.2782, device='cuda:0') Test Error: tensor(41.1011, device='cuda:0')
Round: 4000 Training Error: tensor(59.8569, device='cuda:0') Validation Error: tensor(55.9830, device='cuda:0') Test Error: tensor(40.8780, device='cuda:0')
Round: 4500 Training Error: tensor(59.7644, device='cuda:0') Validation Error: tensor(55.7164, device='cuda:0') Test Error: tensor(41.2466, device='cuda:0')
Round: 5000 Training Error: tensor(59.7245, device='cuda:0') Validation Error: tensor(56.3180, device='cuda:0') Test Error: tensor(40.8372, device='cuda:0')
Round: 5500 Training Error: tensor(59.5476, device='cuda:0') Validation Error: tensor(56.2888, device='cuda:0') Test Error: tensor(40.8835, device='cuda:0')
Round: 6000 Training Error: tensor(59.4615, device='cuda:0') Validation Error: tensor(56.1034, device='cuda:0') Test Error: tensor(40.8639, device='cuda:0')
Round: 6500 Training Error: tensor(59.2950, device='cuda:0') Validation Error: tensor(55.6422, device='cuda:0') Test Error: tensor(41.1914, device='cuda:0')
